IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
TNPO3	310.3	324.9	262.6	309.1	200.2	331	127.7	273.5	255.3	197.5	274.1
CD7	84.8	63.2	11.4	28.8	8.6	78.6	13.4	10	33.3	26.8	30.8
RABEP1	293.1	454.5	476.5	397.7	584.3	490.4	352.1	576.9	328.5	294.4	268.9
ARPP19	369	254.4	231.7	141.1	211.4	133	264.5	337.3	322.4	396.9	220.5
HIST1H2AL	23.9	48.8	44.9	36.7	46.2	31.6	149.1	38.4	40.5	38.5	122
SSTR5	39.7	53.6	53.1	4.5	35.7	9.3	73.2	14.5	18.6	46.8	32.7
SSTR4	34.3	13.1	25.9	14	93.3	72.6	19.3	15.9	15.9	11.9	10
PTTG2	29.5	14.5	44.4	1.7	8.9	15.9	41.2	79	58.8	31	1.9
GPR12	157.4	91.4	135.4	119.3	195	187.4	99	79.7	100.2	165.5	82.4
DRD3	11.1	4	3.1	4.4	21.3	10	4.9	6.9	4.8	10.8	61.7
FPR3	26.4	13.2	81.9	11.8	13.1	88.9	81.6	6.7	27.7	83.8	17.3
LILRP2	53.4	27	65.4	2.8	84.8	71.3	3.5	78.7	58.6	22.6	47.7
HIST1H4L	32.7	14.6	4.1	7.8	4.7	6.1	66.7	6.1	36.4	7.3	17.7
PCDHGC3	28.5	27.3	28.4	65.6	35	81.3	3.9	2.3	8.4	4.2	5.7
PCDHGC3	11.1	55.5	58.3	98	121	119	8.1	11.9	56.4	31	92.2
SMR3A	7.8	62.9	6	45.7	49.1	12.6	11.1	6	4.1	5.1	8.6
SMR3A	7.6	28.9	17.6	69.7	60.1	15.7	3.3	42.9	5.2	23.1	4.1
XCL2	17.9	7	3.4	159.6	8.9	3.6	5.3	7.7	34	5.2	106.6
TPSD1	6.3	26.9	17.9	7.9	34.3	36.6	23	53.1	37.3	80.6	17
IFNA5	2.3	20.2	23.6	47.1	4.3	58.2	41	20.2	50.5	41.9	43.1
LOC102725315	9.5	8	26.8	14.7	166.3	23.5	108.8	57.3	15.1	99.1	10.6
FGF3	13.6	11.4	32.4	3.5	13.3	9.4	87.4	7.5	10.7	11.8	7.1
INSL3	8.4	12.4	23	13.6	6.5	11.9	4.4	18.2	9.2	34.1	6.3
LST1	236.9	264.1	98.4	54.6	176.4	127.5	259.5	48.3	183.1	116.9	143.8
AZU1	10.6	106.1	22.6	8.3	70.2	9.9	6.2	6.7	8.4	25	19.4
KRT36	3.5	5.4	4.2	3.6	3.5	3	10.9	3.1	6.9	2.3	4.2
MAP1B	120.4	172.6	61.9	1770.2	883.5	77.7	209.6	347.2	50.5	60.7	19.6
ROCK1	359	340.7	523.6	440.5	339	212.7	469.8	213	277.5	270.1	348.3
NIPAL3	171.1	121.7	405.4	316.6	747.4	731.9	398.1	104.9	589.9	107.9	1368.7
KRT6C	12.1	11.3	17.1	4.9	15.7	20.6	24	8.5	11	16.2	31.2
TNFRSF21	130.4	142.4	37.4	84.3	122	7.3	9.5	398	95.4	40.3	131.9
PDE3B	468.6	2725.3	621.2	2868.7	1278.6	1539.1	583.4	1758.2	601	2489.3	589.3
DDI2	63.7	325.3	481.3	526.1	582.4	474.9	461	714.8	448.6	625.7	924.5
ACACB	23.9	12.4	16.8	114.3	9.1	13.5	19.3	47.8	67.2	5.7	72.2
VPS52	3829.7	2105.6	3035.7	3364.7	2802.6	2764.2	3775.9	2329.7	1958.2	2224.7	2732.7
GPR37	23.2	43.5	52.8	208.5	1.6	6.5	13.3	33.7	95.9	79.6	41.9
COL8A1	14.9	15.7	2.3	1	16.5	8.6	24.2	2	2.3	38.1	2.9
MFAP3	41	42.5	20.9	21.9	26.8	64.4	27.4	35.4	6.1	8.3	15
FGF12	40.4	54.7	8	77.2	41.8	25.1	10.6	126.1	36.6	288.7	10.8
UBE2D1	62.2	72.6	78	196.9	113.2	241.6	34.5	109.6	132	181.9	99.8
KLHL4	45.8	3.3	7.4	9.2	43.1	5.2	3.1	2.5	38.6	28.6	4
SNAPC5	134.8	160.3	236.9	196.3	284.6	271.5	334.5	305.1	166.4	129.5	285.5
PIAS2	9.4	22.3	30.8	4.7	13.7	34.4	13.4	37.2	28.2	10.5	60.7
ATP8B1	1257.7	490.3	2710.3	1941.7	2662.8	3127.1	1553.2	933.9	907.6	762.8	2427.2
KCNG1	162.4	337.5	243.3	179.6	206.9	60.9	78.6	596.5	55.1	60.8	92.8
CHRM3	547.5	1217.5	84.6	229.8	161.9	11.8	119.3	446.6	113.4	12.6	105.3
SSTR2	84.7	61.9	57.4	37.1	64.6	56	9.6	81.7	70.3	10.7	18.5
CLDN8	4778.4	2989.1	1723.4	1463.4	4305.2	6359.6	249.7	1826.3	5432.1	11023.6	1460.5
IVL	44.5	48.6	92.9	43.1	73	59.2	26.1	24.4	45.3	68.4	9.6
TEAD1	127.5	137.8	118.9	165.3	245.5	131.2	153.7	158	73.5	20.6	127.6
TPH1	373	86.4	25.2	39.3	168	237.2	2033	422	2.5	52.4	119.6
COL4A4	5	3	8.7	1.9	8.7	40.7	235.5	11.5	5.7	2	6.1
MAGEA2B	4.6	31.4	3.8	32.7	7.8	16.2	31.4	6	51.7	3	12.9
HOXD11	64.1	59.5	53.1	39.8	48	67.5	133.6	90	2.5	6.6	232
GPR1	115.1	36	198.8	175	314.2	93.5	98.4	166.1	38.2	37.6	181.8
TSPAN2	46.4	22.8	2.9	31	1.4	16.9	1.3	13.9	10.9	9.8	34.4
PAK3	54.9	106.2	97.4	122	15.6	50.6	236.4	68.4	88.3	83.2	264.9
EYA1	5.7	80.2	35.7	75.5	13.8	14.6	9.7	13.4	57.7	5.3	6.2
PHOX2A	91.5	13	18.8	18.2	102.8	59.8	61.5	112.4	31.6	20.9	55.2
CYP11B1	23.7	21.1	11.4	113.5	22.2	13.6	12.3	48.5	40.3	8.8	30.3
GRIK1	160.7	125.9	20.3	202.3	176.8	870.5	42.5	2329.6	27.3	105.1	71.1
MAGEA6	26.7	18.1	10.7	21.4	58.5	12.1	5	9.5	147.7	24.3	4.1
GPR3	7	26.8	78.9	5.9	28.9	12	17.3	8.7	70.5	18.8	8.6
MNX1	345.5	535.8	1622.4	233.1	989	909.2	690.1	530.1	147.7	1346.4	482.7
P2RY10	5	12	3.2	43	47.9	35	24.2	1.9	11.7	8.7	29
HIST1H3E	77.6	113	169.6	40.2	174.9	129.3	93.5	146.5	102.5	145.4	54
PRF1	64.9	125.9	112.7	138.8	79.7	146.2	218.4	108.6	121.1	15.1	219
CFLAR	53.6	44.1	37.9	36.2	29.8	34.8	26.9	2.1	19.7	43.5	29.3
CRHR1	30.3	115.9	146.5	131.1	25.3	111.6	91.3	167.2	143.5	108.4	109.3
PAM	102.3	338.6	321.4	98.3	196.3	217.4	942.6	154.1	90.1	130.6	346.2
GYS2	2.2	9.9	6.8	3.2	9.2	4.8	23.5	48.3	1.3	6.9	2.6
CYP21A1P	10.2	9.8	13.4	16.5	140.4	22.7	76.5	55.6	52.2	19.5	41.2
FBXW4P1	7.5	14	204.5	39.4	212	116.4	101.3	5.1	44.2	35.4	114.3
UPK1A	15.8	20.9	29.2	86.1	195	223.1	46.9	13.7	31.7	19	478
MINK1	30.9	12.5	21.4	19.8	20.9	12.8	57.3	8.7	16.2	12.9	11.2
GANAB	1620.9	1099.7	1635.1	1670.2	1097.1	1390.6	1185.5	1571.4	959.8	965.6	806.3
EPX	87.6	119.2	140.5	15.8	175.6	105.4	68	41	15.5	74.3	111.7
NHLH1	14.9	12.2	23.6	11	93.1	58.5	23.7	29.5	15.2	38.3	18
RTN4	20055.9	20829.6	28131.6	10770	9292.2	10369.7	13711.9	18707.3	17848.7	25686.1	16884.2
CYP11B2	14.5	30.2	17.7	85.6	80.1	25.4	28.4	25.5	6.4	64.2	25.6
ZBTB33	3.2	21.4	15.8	28.4	48.5	45.9	39.2	24.3	25.5	31.3	11.3
NRP2	52	80.1	93.9	31.9	35.3	9	184.2	42.9	33.5	30.3	30.4
SOX3	16.1	54.5	202.1	68.1	7.4	8.1	6.7	25.6	9.9	77.7	3.9
HIST1H4I	100.2	125.1	152.2	141.8	50.8	234.2	36.9	115	114.4	94.9	6.1
CLDN9	171.1	95.8	101.2	78.8	103.6	149.7	118	108.5	121.4	106	11.1
CALCB	53.5	13.7	60.1	3.8	89.7	48	5	24.9	3	4.7	46.8
OSM	7.8	15.4	10.7	10	9.8	23.2	20.1	20.9	6.3	21.8	9.7
CCNT2	178.3	82.9	109.1	53.7	135.9	139.4	69.7	83.7	118.5	73.8	83
HOXA1	43.2	15.9	17.5	46.9	7.4	134.3	7.8	30.8	105.7	109	113.4
UNC93A	59.3	6.2	80.3	44	59.2	4	1.8	8.2	36.2	35.7	20.2
COL4A3	11.3	21.1	3.3	68.3	5.5	65.6	74.3	11.5	6.2	5.8	44.7
MAGEA10-MAGEA5	6.9	28.9	45.1	6.7	52.9	12.6	5.1	3.1	72.3	15.8	6.8
BIN1	130.2	91.3	151.3	231.5	250.1	78.9	300.3	42.6	262.2	217.1	388.6
HIST1H2AK	67.2	9.4	22.7	66.6	95.3	93.2	71.9	45	9.9	40.8	80.8
AK025116	61.1	26.5	5.5	8.5	46.2	3.1	2.2	18.9	47.4	46.8	32.5
HIST1H3F	43.5	61	105.4	16.3	40.6	38.2	11	58.3	28.3	12.7	10.9
HFE	7.3	56.4	37.4	28.8	1.6	16.9	90.7	33.3	80.1	42.2	46.9
GPX5	2.1	62	5.2	47.4	82.5	34.6	51.3	3.3	2.1	27.4	17.4
MTMR2	114.8	259.9	183.8	152.1	107.1	100.2	353.4	152.5	542.2	347.7	208.1
MOG	61.4	23.2	100.7	67	115.7	98.5	89.6	22.1	42.2	62.6	80.6
HOXA10-HOXA9	1045.2	3314.2	5783.1	7042	5800.9	4760.6	3713.1	2594.2	5976.5	6447.2	3718.8
DRD1	0.9	3.7	4.1	46.8	40	7.8	7.9	1.8	6.2	1.5	24.3
GPR6	44.9	77.1	37.3	6.2	48.8	11	37.1	19.5	42.9	5	61.6
MYO1C	1258.6	1430.3	2981.1	1012.3	2551.7	1740.8	714.5	958.5	1818.4	1068.4	1643
MIR612	2600	613.6	4315.3	1073.4	13716.9	7416.6	1235.5	2079.7	1674.5	1335.6	2088.3
TMED7-TICAM2	3629.3	3674.6	2263.4	2723.3	2092.8	1824.7	2236.9	4111.2	1928.7	2773.4	1907.1
YLPM1	1682.5	354.6	696.2	1646.1	2404.3	2281.6	602.3	1396.6	630.5	530.9	1752
ITGA1	25	192.5	71.5	40.1	17.5	75.4	237	171.1	105	25.7	1.3
NOP14	1156.8	982.7	1750	877.7	1573.2	1423.5	950.4	1387.4	1087.9	956.3	1006.8
WDR43	2260.8	1698	1474.1	1207.6	1259.2	1031	1234.8	1785.6	876.9	1357.5	1020.8
DSTYK	235.8	125.3	436.4	243.8	338.9	287.9	244.4	275.1	153.1	172	246.3
PAICS	32.4	3.5	72.7	67.6	31	64.2	11.5	7.8	68.6	12.9	6.5
CHP1	3242.7	2795.5	2315.8	2270.8	1691.8	1990.7	554.5	2974.1	4948.4	5518.1	2508.2
IREB2	91	125.1	76.2	80.4	86.9	97.6	48.8	124.3	122.7	84.4	86.6
TP53I11	33	60	20.3	47.2	27.7	19.4	14	31.7	47.5	61.5	23.2
SPRYD7	166.6	54.9	71.5	31.9	72.7	27.9	38.8	92.6	68	73.4	149.9
IGKC	100.5	493.7	430.3	7.7	324.4	160.1	772.9	137.4	608.7	76.2	81.6
ZKSCAN1	2183.3	1162.5	872.4	1953.8	2235.2	2392.8	2864.3	1765.4	1327.9	854.6	2286.9
ABR	54.4	67.4	200.9	96	87.8	59.3	84.2	93.7	93.8	23.3	110.6
TTLL5	1140	615.3	615.1	983.7	646.8	863.7	388.5	547.2	570.5	1123.1	860.9
HUWE1	9.1	24.5	24.5	31.7	143.6	62.1	57.3	5.1	34.2	62.2	39.3
USP19	309.1	190	368.7	255.6	424.2	270.3	274.2	253	278.3	250.4	248.9
NUP188	15.1	5.9	66.1	89.1	58.7	42.8	14.4	22.3	10.5	9.1	36.8
MUC3B	153.8	160.6	86.4	16	168.1	70.9	25.6	161.3	71.1	64.2	118.2
IGLC1	15.6	257.6	561.6	20.4	2265.8	140.4	3008.6	15.8	3174.4	28.1	290.2
ZFX	2198.7	768.1	1264.1	957.1	2484.8	1811.4	597.1	939.9	715.7	2696.8	691
GNA11	482.8	704.7	475.6	777.7	811.8	600.8	414.4	573	636.7	387.8	519.4
NTRK2	19.7	10.6	11.9	15.9	18.2	17.7	5.6	2.8	9.2	16.4	12.6
GK	119.9	248.4	159.7	208.7	132.1	217.9	213	201.3	165.1	491.9	181.3
PKD1P1	56.8	5.1	157	71.1	228.1	269.9	235.8	110.2	9.7	8.4	168.4
CLK1	2989.4	2071.8	2776.8	4346.2	4852.9	4792	3350.4	3144.2	1843	1598	3881.5
MEF2A	678	537.9	435	686.3	927.4	396.7	1198.7	583	301.3	351.7	622.6
NOP14-AS1	60.9	9.3	22.6	10.1	65.1	10.2	77	4.7	3.1	5.4	83.9
ZNF266	2867.5	1847.2	1012.8	3329	3862	2182.1	2119.4	1807.2	1138	1729.7	2642
ALDOA	17323.8	14461	17738.4	16259.5	16816.1	18277	5914.9	19309.3	22508.8	16561.3	10073.1
TLE4	31.6	86.6	94.8	75.7	61.6	53.7	42.1	6.7	50.3	80	47
PAPPA2	16.5	24.5	31	95.6	32.9	63.9	66.9	78.7	16.3	68.1	17.5
TAF1B	143.7	156.6	119.9	172.1	220	280.9	42.3	112.2	109.2	111.1	120.4
FAM63B	63.2	65.1	62.5	72.3	50.8	100.4	81	6.9	34.9	73.6	63.9
JRK	315.9	148.4	295.7	109.7	294.4	443.2	394.4	181.3	294.6	125.8	219.2
NBPF26	2005.6	1476.1	2585	4010.2	4853	3960.1	3829.4	1157.5	1266.8	1328.1	4010.1
MPRIP	135.7	65.1	257.5	143.4	190.9	238.1	182.2	63.3	118.3	76.5	141.5
UBAP2L	356.2	290.9	395.4	379.4	670.6	628.6	886.7	349.2	177.1	318.8	379
MIR22	622.7	1315.2	1644.2	663.1	1878.3	622.2	8.4	644.8	893.3	2303.8	2342.4
PTBP3	430.5	166	158.3	45.6	336.6	348.4	331.8	349.3	202.8	522.4	251
PTBP3	53.6	78.9	217.2	76.5	128.7	203.2	141.8	64.1	109	119.3	84.1
WIPI2	93.8	87.2	307.9	148.3	130.6	144.2	96.8	133	134.7	174	144.3
RIF1	858	610.7	200.9	497.7	408.4	408.7	440.2	581.1	291.5	699.9	531.3
FN1	311.4	60.9	113.5	105.8	76.3	17.3	136.6	179	55.7	86.3	111.3
FN1	115.6	10.5	17.8	4.4	18.9	2.5	79.4	304.3	14.7	1.6	49.8
MAN2B2	1227	1163.1	896.2	693.3	1966.9	892.8	452.6	1400.6	1246.7	1763.1	1407.9
TCF25	66	11.8	9.3	25.4	84	17.1	7.6	96.9	15.7	10.9	152.5
PATJ	303.4	77.2	272.4	727.1	497.1	728.6	327.4	343.5	63	86.7	532.1
ZNF200	394.1	513.6	303.8	478.2	420.2	502.6	473.9	423.4	621	860.3	412.3
ALMS1	878.1	425.1	1081.3	1446.7	2245.1	2131.5	1539	789.2	652.5	439	1748.7
SNTB1	18.8	65.5	4.9	25	5.9	43.4	92	70	42.8	70.3	22
KTN1	9970.5	7849.2	7176.3	8169.2	6809.2	7117	7205.8	8116.1	7907.6	7282.5	8303.5
CCNB1	291.4	674.8	391.4	428.3	723.9	501.4	149	1078.4	1199.2	664	197.2
GATC	155.6	54.7	183.5	86.8	133.5	127.5	121.3	52	154.3	148.7	124.1
SNX29P2	35.9	10	29.6	31	46.4	53.9	17.9	55.2	16.5	17.7	46.1
YLPM1	630.7	187.5	174.2	373.5	268.4	335	268.9	321.4	372.2	247.7	371.4
ZNF394	1109.7	552	626.9	603.2	691.4	1011.1	1371.2	770.4	649.6	841.9	1389.1
ZNF160	4129.8	1500.9	6942.2	6805.5	9474.8	10960.6	6743.5	4326.7	2335.5	1738.2	9120.8
BMP2K	26.2	79.3	30.9	90.2	92	36.5	35.4	42.2	11.1	37.1	98.6
PKI55	139.3	139.2	51.3	8.2	72.3	36.9	6.6	165.7	4.7	74.1	38.5
GATAD1	1085.4	522.2	526.6	1546.8	1136.2	1492.5	1431.3	542	689.7	380.7	1139.7
SLC46A3	96.3	550.2	169.7	107.6	93.4	257.1	431	544.2	126.4	34.9	257.9
SEPT10	165.7	130.4	107	93.5	162.5	155	34.2	83.9	164.3	155.2	225.2
CDC42EP4	620.9	777.5	526.4	164.7	198.8	268.9	467	320.4	1057.9	660.1	1216.2
NOTCH2NL	11076.8	3923.1	10189.1	18659.8	30144.6	19172	12492	6282.1	4688.9	5687.3	13301.8
ANKRD36	854.4	258	611.4	650.1	1565.7	2050.6	2617.4	564.9	215.3	104.6	1653.6
DIXDC1	734.9	285.8	305.8	294.1	194.5	136.2	361	552.5	715.9	230.7	526.4
SBSPON	1.4	2.7	8.6	12.1	83.3	9.2	75	1	29.3	19.3	42.3
ADD1	955.3	650.7	1640.1	1688.9	1803.6	1675.8	1003.5	576.4	630.6	883.1	1734.8
BRCA2	18.6	41.6	26.8	46.9	62.3	14	37.3	63.4	46.2	6.2	33.1
SMARCA4	3867.4	2417.9	3719.4	2617.7	3660	6685.8	2300.3	3291.7	1889	1545	2924.2
TWISTNB	71.4	40.7	10.5	58.8	85.3	46.5	31.9	54	48.8	9.3	1.9
GLG1	2052.1	1386.6	3689.7	2402.9	3329.8	4042.2	2858.5	2863.4	1248.1	1899.2	3012.7
AB037854	155.4	72.6	113.1	282.8	392.6	340.8	167.5	143.2	54.6	30.6	384.6
SP1	17.7	13.3	70.7	11.7	77.4	70.6	80.3	5	31.9	18.9	26.7
YIPF1	1707.3	2525.9	3000.1	2240	1618.6	2191.3	480.1	2222.8	5006.8	4904	3133.8
EXPH5	675.2	112.7	466.6	489.8	361.2	417.7	409.2	171.8	215.8	333.3	679
IPCEF1	891.2	147.5	62.7	93.5	60	20.3	15.9	83.2	100.1	14.7	232.6
ADD1	2785.7	1529.3	2139.6	1902.3	2643.8	2373.1	3192	1523.7	1562.3	1961.5	2861.5
HNRNPC	10928.7	15941.2	15408.2	11110.5	11276.5	13322.9	13199.4	14260.2	14399.7	12781.4	8616.4
NEK9	8.1	15.3	12.3	50.6	10.2	30.3	10.3	18.2	9.4	67.4	8.5
LRCH3	325.9	237.4	525.3	732.3	1312.2	1320.8	752.1	352	328.3	508.1	706.7
UPK3BL	54	13.3	78.2	10.1	20.9	99.2	97.8	10.2	12.4	9.6	27.8
LOC100506639	359.6	1103.6	470.1	243.3	572.6	734.8	1261	851.1	648.5	603.6	672.3
CEP131	283.4	83.7	176	160.4	245.9	303	146.6	54.5	139	121.6	281.7
CUX1	1470.5	942.1	1300	1409	4076.8	3278.2	2396	1149.4	906.9	869.2	1659.7
SNORA21	290.1	680.4	501.1	373.1	304.5	186.9	43.2	1164.1	270.9	338.1	223
PLCH1	35.5	66.1	48.9	148	55	63.2	64.3	128.8	47.4	25.9	159
ZNF467	420.5	1808.6	648.8	231.5	1334.5	1352.1	628.2	1032.4	258.2	970.9	205.2
ZBED4	39	60.2	79.1	173.1	105.2	6.1	94.8	20.5	28.6	25.8	103.5
N4BP2L2	1094.3	863.7	991.2	1239.6	2046.7	2819.8	86.4	737.8	629.6	2447.2	1398.1
ARMCX6	8713.9	7310.3	14416.3	5924.9	10312.4	10967	12625	7595.9	7943	12397.7	8486.6
PLAC4	86.2	22.2	31.2	140	223.5	38.1	138.3	26.5	91.9	152.7	58.7
ZNF468	1191.1	1207.7	304.5	1108.8	544.6	600.9	2022.1	804.6	1014	1596.9	856.3
FLNA	268.5	768.9	336.6	521.3	325.3	393.9	622.7	252.9	339.7	150.7	606.6
N4BP2L2	1013.7	303.3	708.3	518.3	1947.6	2221.2	566.9	585.8	417.8	289.2	2220.2
TET3	27.6	140.8	161.4	59.1	74	111.2	69.5	97.6	93.9	120.3	60
UAP1L1	184.7	297.6	136.4	336.5	268.8	72.9	306.7	275.6	236.2	178.4	167.4
PMS2P1	781.9	2250.1	1789.8	2056.7	2761.8	2778.8	1055.5	1582.7	1368.8	2211.7	1506.5
PMS2P2	12.5	40.2	107.7	255.6	433.6	450.4	174	16.7	123.5	9.7	230.6
DCAF4	167.7	107.1	141.3	196	171.6	232.4	248	107.9	137	104.1	142.5
WTAP	102.3	73	94.5	82.6	37.1	80.3	45.4	73	92.8	72.2	69.1
ZNF337	496.7	638.9	688.3	1202.3	948	1164.4	1005.3	457.8	496.9	438.2	676.6
ZNF423	114.1	195.7	220.2	98.9	68.8	120.5	844.3	55.3	37.5	11.5	152.7
ATP6V1G2	201.9	204.2	111.4	149.7	109.6	102	47.2	92.6	97	97.2	21.6
ACOT11	17.9	23.1	18.6	16.7	13.1	25	18	109.8	12.5	19.2	111.3
RRP15	163.7	451.5	435.3	191	8.6	142.1	161.2	422.2	207.4	260.7	198.1
NAAA	1104.1	2768.6	2980.4	1480.3	2749.4	2051.1	6632.4	1917.1	2488.9	1252.3	2778.6
AHCTF1	385.9	909.8	709	651.5	1179.2	1479.6	539.9	615.4	347.5	596.1	790.6
HSPB6	90.9	141.7	74.6	146.8	121.6	135.8	45.9	12.7	79.4	4.9	29.5
IGKC	51.5	49.8	83	72.7	26.7	103.1	134.2	78.3	117.7	44.5	141.1
CLCN4	24.9	32.9	305.1	105.8	4.1	16.4	6.2	407.1	10.4	214.8	104.3
MSR1	134.7	246.3	157.6	29.7	31.3	60.3	203.4	46.2	86.8	32.5	51.5
MPRIP	736.9	2098.7	3611.1	1499.2	2547.7	1577.9	837.8	1071.2	1672.3	1018.5	1321.7
KIAA1549L	61	35	34	2.3	3	30.7	11.9	31	2.3	20.2	52.9
TIPRL	2469.1	1616.5	1665.2	2762.3	1123.8	1350.2	2217.5	2590.7	1706.8	1713	1381.3
TOX3	519.4	1214.7	2114.5	1931.3	874.4	288.4	1621.3	2411.8	920.9	135.1	437.7
N4BP3	59.2	128.6	78	6.7	83.6	101.5	75.4	69.2	4.5	12.6	81.1
XYLB	89.7	12.4	5.4	52.8	173.7	117.1	97.5	103	20.6	25.5	66.3
IGKC	34.5	15.6	27.6	5.9	35.6	23.4	109.5	13.2	10.1	12.4	7.5
MEGF8	215.5	107.7	457.8	153.6	173.8	383	347	166.1	163.4	87.7	173.6
SGSM3	2218.4	660.9	2159	3292.7	2131.6	1981.1	1166.5	1491.9	1720.7	1625.3	1691.3
MYO9B	473.8	455.2	526.4	247.4	570.6	493.3	526.4	252.6	433.8	398.2	568.8
AL162013	5.9	19.2	14.4	6.8	6.6	56.3	5.6	44.3	6.1	3.6	9.9
CTTN	190.9	154.4	185.7	465.4	1330.1	907.9	486.4	244.3	142.5	104.1	617.8
ANXA11	311.1	517.5	1072.7	1157.7	748.7	1342.8	725.3	333.2	852.1	901.5	2166.9
XPO6	14408.2	3916.3	4581.3	3514	8400.8	5024.9	1394	2967.6	6744.3	4977.2	1710.9
VPS13A	430.5	615.3	710.1	1383.9	792.1	722.8	878.7	798.9	375.7	206.5	575.9
MAP3K1	223.4	11.9	7.4	142.7	58.8	131.2	188.5	4.3	85.4	5.4	257.3
DENND4A	115.5	296.4	169.8	467.6	92.3	173.7	159.7	420.4	377.8	254.2	294.1
DDN	8.6	19.6	41.7	7.7	22.3	39.3	19.2	28	21	15.5	10.8
SRSF8	3454.8	4247.9	3619.7	3572.7	3064.8	2593	2822.3	3553.6	8785.6	4279.5	3197
SENP6	322.6	983.6	247.9	135.9	430.5	170.6	1197.6	598.6	190.5	148.9	962
SP140L	51.6	141.2	77.8	73.9	177.2	31.3	244.4	119.2	722.8	192.5	599
VAMP2	200.5	616.7	796.7	296.9	465.8	661.8	247.3	356.8	435.6	365.5	207.3
DUSP7	6	32.6	7	4.5	36.9	5.5	9	14.9	16.7	44.3	6.8
PA2G4	490.5	340.5	262.5	282.4	152.1	167.4	129.3	323.4	301.8	250.3	238.1
ZMYND8	14.5	17.4	215	58	138.2	128.7	91.7	127.5	37.5	20.7	151.5
LOC101927137	12.6	44.5	13.7	6.3	4.9	113.9	53.5	6.8	9.5	3.5	69.1
CDK18	155.7	58.7	124.7	20.6	167.6	90.7	115.4	167.5	141.7	17.8	170.7
ATP2C2	85.3	524.2	387.2	369.4	573.5	539.5	705.1	383.8	222.6	336.7	1905
NFASC	12.6	79.7	74.2	7.3	61.9	85.4	715.9	70.1	18.6	9.7	56.2
BTF3	20383.6	24256	17483	17458.8	9782.3	8422	11463.8	24642.8	13699.8	7994.9	7786.5
TOR1AIP2	1015.3	1362	1150.6	974.2	985	1153.6	1139.5	2622.5	658.4	929.7	1204.9
EXOC7	1174	408	1280.7	1209.6	2086.4	1660	1915.8	479.2	837	272.5	2169.5
CDH6	4.7	424.1	53.1	6.3	219.1	38.6	512.2	131.9	4.2	89.3	209.1
CENPI	104.8	117.8	130.1	99.8	360.1	224.6	3	39.1	99.8	178.4	68
SNORD10	1577.8	323.6	2260.9	543.3	1627.9	629.6	552	526.8	830.3	320	1476.4
BICD1	4585.9	588.1	2448.9	1552.7	3619.8	3448.9	1177.4	3002.5	466.5	931.9	551.3
PLXDC2	429.9	261	420.1	426.4	211.1	246.1	823.4	493	117.8	131.7	485.8
AU147851	904.5	219.1	979.5	706	655.1	1203.5	1659.4	189.8	373.2	188.7	1018
LOC100294145	52.1	121.9	56.2	48.8	35.3	78.4	77.6	180.4	6.5	36.4	79.1
RIMBP2	25.4	1535.6	5.3	12.2	12.1	75.6	4304.6	645.8	21.9	54.4	150.1
MOB1A	2033.4	2517.4	2017.8	1491.9	1182.5	953.1	2187.7	1752.1	1674.3	2381.8	1740.1
ZNF75D	177.7	89.1	120.8	169.6	138	130.3	93	151.5	160.5	133.3	163.1
YTHDC1	159.2	95.5	356.5	822.1	934.2	565.6	1538.1	379.5	108.9	72.9	764.2
TRIM33	434.8	44.6	202	519.7	615.4	618	15.2	200.8	114.1	64.1	350.6
FAAP24	191.7	151.9	99.2	127	261.8	215.8	367.4	165.3	90.4	174.1	205
UNC13A	10.7	34.2	18.7	15.1	14.6	11.8	206.3	28.8	7.7	14.6	15.1
CCDC57	7.4	14.4	20.2	93.2	287.2	121.4	24.4	50	8.1	52.6	161.1
IQSEC2	187.3	139.7	101.8	135.1	277.1	268.4	220.9	178.6	145.4	169.6	148.4
BRWD1	431.9	216.4	277.6	1046.4	542.9	732	289.2	185.5	171.2	254.8	579.4
SLC25A4	151.9	9.6	35.8	64.4	65.5	81.9	97.7	20.3	58	56.2	39.9
BRINP2	8.2	5.8	11.1	17.7	8.1	5.9	13.5	4	6.8	7	6.8
ZNF204P	30.8	203.2	55.1	118	2.4	56.1	947.5	302.6	10.6	19.1	998.6
Z73903	6.5	8.5	22.9	13	5	19	15.9	6.3	22.8	10	7.9
FAM155A	76.3	51.4	41.9	54.8	53.6	30.2	1280.4	209.3	61.1	29.3	39.5
PDE12	168.3	164.1	175.8	111.9	43.3	8.6	109	153.6	106.2	71.8	77.4
PARD6B	8.3	12.4	37.7	4.8	2.8	17.6	47.3	5.8	33	9.1	6.4
RRP7BP	197.5	65.6	58.3	130.7	129.4	43.7	158.8	45.2	117.1	137.2	67.9
AASS	568.6	205.2	183.7	311.8	1256.1	1511.6	183.9	249.9	241.4	245.1	508.3
SLC38A6	259.4	482.5	591.7	201.2	613.8	1183.6	587.5	300.1	1085.3	1537.4	777.9
ELK4	194.8	181.3	671.7	361.1	1094.6	1050.8	364.9	214.4	153.3	501.5	568.5
HNF4A	3.4	4.6	5.2	6.2	14.1	10	8.9	11.8	3.6	6.8	6.3
TMEM63A	342.5	118.6	441.9	360	818.4	662.9	84.4	201.4	188.5	132.3	973.6
