IDENTIFIER	GSM1095883	GSM1095886	GSM1095877	GSM1095878	GSM1095879	GSM1095880	GSM1095881	GSM1095882	GSM1095884	GSM1095885	GSM1095876
GPR182	8.1	47.6	38	7.7	52.5	89.6	76.9	44.4	32.7	70.7	24.5
ESX1	14.3	36.5	3.4	99.3	53.5	7.2	7.5	52.1	36.2	59.6	28.5
FAM167A-AS1	2.3	3.6	7.2	5	16.8	4	7.6	5.5	11.1	2.6	9.5
SCGB1C2	25.6	6.5	3.3	32.6	2.9	6.5	16.1	18	3	40.9	8.7
DNAJC5G	9.1	16.9	50	5.8	31.8	63.8	38.8	7.7	20.5	5	60.8
WDR88	11.9	3.1	43.3	3.7	10.6	5	10.6	17.3	4	5.8	11.9
WDR88	7	1.9	26.9	2.2	8.7	3.6	8.1	6.4	3.8	4.1	3.2
PRUNE2	1505.1	1890.4	2858.5	3662.6	1523	280.2	614.2	6789.8	467.8	329.8	931.9
MBD3L2	14.6	37	5	8.1	15.4	4.6	4.5	9.9	3.7	19	10.4
ADAMTSL1	2254.4	13.3	482.8	7.3	41.6	34.3	126	4.3	2.7	26.1	44.4
MBD3L1	18	47.1	47	27.9	33.6	50	53.8	56.1	34.2	1.1	23.9
MBD3L1	4.7	7	10	11	3.1	5.8	7.4	46.5	10	9.9	19.7
FAM46D	154.9	8.2	2.2	6.3	20.4	32.6	31.6	32.6	5.2	31.8	11.3
SERPINB11	9283.3	68.3	97.1	26.4	80.7	175.2	74.5	45.3	38.5	107	300.9
LINC00161	3.4	23.5	3	32	31.7	42.4	66.1	17.9	172.1	6.3	31.9
DSCR10	31.4	72.4	40.7	29.6	39.5	85.7	24	47.4	13.4	70	28.1
DSCR10	38.1	19	14.1	10.7	43.9	224.1	26.5	19.5	41.2	9.9	59
ABHD11	2	2	28.7	5.4	1.8	10.4	2.3	2.1	1.4	2.1	2
ACAP2	95.9	373.8	187.1	123.6	630.3	453.5	711.7	348.9	303.6	297	321.4
GAMT	333.3	609.4	568.7	77.3	436.3	620.8	554.6	424.5	1074.4	285.9	248.1
GAMT	743.5	923.1	562.1	424	693.6	1079.1	492.8	630.2	1207.8	1131.5	617
PLCD3	151.9	166.2	186.9	79.4	23.8	177.6	86.8	132.6	107.7	116.8	82.9
IRF6	893.3	142.6	351.8	241.2	462.6	1303	312.6	94.4	694.3	378.5	820.9
IRF6	6.6	2.3	19.4	27	10.4	42	42.2	14.1	20	4.2	46.7
PTPRC	33.6	5.6	2.7	1.2	23.8	0.5	13.9	1.8	2.7	2.4	29.3
MAN1A2	111.2	124.2	70.7	245.2	120.2	156.5	92.7	39.2	124.1	137.7	139.8
